aflrun_seed_10/default/pacfix.log:[valuation] [dry-run] [val default/memory/neg/id:000001] [file /home/yuntong/vulnfix/data/libtiff/cve_2016_5321/aflrun_seed_10/default/queue/id:000000,time:0,execs:0,orig:exploit] [time 147]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000001] [file memory/input/pos_000001_src:000000,time:499,execs:197,op:havoc,rep:2] [time 499]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000002] [file memory/input/pos_000002_src:000000,time:608,execs:203,op:havoc,rep:2] [time 614]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000002] [file memory/input/neg_000002_src:000000,time:816,execs:216,op:havoc,rep:4] [time 816]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000003] [file memory/input/pos_000003_src:000000,time:1560,execs:314,op:havoc,rep:2] [time 1560]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000004] [file memory/input/pos_000004_src:000000,time:1846,execs:339,op:havoc,rep:2] [time 1846]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000003] [file memory/input/neg_000003_src:000000,time:2643,execs:418,op:havoc,rep:8] [time 2643]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000005] [file memory/input/pos_000005_src:000000,time:3869,execs:570,op:havoc,rep:4] [time 3869]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000004] [file memory/input/neg_000004_src:000000,time:4571,execs:651,op:havoc,rep:4] [time 4571]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000006] [file memory/input/pos_000006_src:000000,time:4967,execs:722,op:havoc,rep:2] [time 4967]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000007] [file memory/input/pos_000007_src:000000,time:5582,execs:781,op:havoc,rep:2] [time 5582]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000008] [file memory/input/pos_000008_src:000000,time:7081,execs:923,op:havoc,rep:4] [time 7081]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000005] [file memory/input/neg_000005_src:000000,time:9089,execs:1116,op:havoc,rep:2] [time 9089]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000006] [file memory/input/neg_000006_src:000000,time:9413,execs:1153,op:havoc,rep:8] [time 9413]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000007] [file memory/input/neg_000007_src:000000,time:10700,execs:1335,op:havoc,rep:2] [time 10703]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000009] [file memory/input/pos_000009_src:000000,time:10825,execs:1341,op:havoc,rep:8] [time 10848]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000010] [file memory/input/pos_000010_src:000000,time:12166,execs:1458,op:havoc,rep:2] [time 12166]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000011] [file memory/input/pos_000011_src:000000,time:12998,execs:1545,op:havoc,rep:2] [time 12998]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000012] [file memory/input/pos_000012_src:000000,time:13236,execs:1588,op:havoc,rep:2] [time 13236]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000013] [file memory/input/pos_000013_src:000000,time:13869,execs:1647,op:havoc,rep:4] [time 13870]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000008] [file memory/input/neg_000008_src:000000,time:14490,execs:1698,op:havoc,rep:4] [time 14490]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000014] [file memory/input/pos_000014_src:000000,time:15487,execs:1772,op:havoc,rep:2] [time 15487]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000015] [file memory/input/pos_000015_src:000000,time:15858,execs:1802,op:havoc,rep:2] [time 15858]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000016] [file memory/input/pos_000016_src:000000,time:16137,execs:1825,op:havoc,rep:4] [time 16137]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000017] [file memory/input/pos_000017_src:000000,time:16698,execs:1875,op:havoc,rep:2] [time 16698]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000018] [file memory/input/pos_000018_src:000000,time:18109,execs:2032,op:havoc,rep:2] [time 18109]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000019] [file memory/input/pos_000019_src:000000,time:18161,execs:2047,op:havoc,rep:8] [time 18161]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000020] [file memory/input/pos_000020_src:000000,time:20477,execs:2302,op:havoc,rep:2] [time 20477]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000009] [file memory/input/neg_000009_src:000000,time:21241,execs:2399,op:havoc,rep:2] [time 21244]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000021] [file memory/input/pos_000021_src:000000,time:22582,execs:2575,op:havoc,rep:2] [time 22582]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000022] [file memory/input/pos_000022_src:000000,time:25129,execs:2859,op:havoc,rep:4] [time 25129]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000023] [file memory/input/pos_000023_src:000000,time:25576,execs:2912,op:havoc,rep:2] [time 25576]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000010] [file memory/input/neg_000010_src:000000,time:30818,execs:3441,op:havoc,rep:2] [time 30818]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000024] [file memory/input/pos_000024_src:000000,time:30912,execs:3447,op:havoc,rep:8] [time 30912]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000011] [file memory/input/neg_000011_src:000000,time:32494,execs:3611,op:havoc,rep:4] [time 32494]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000025] [file memory/input/pos_000025_src:000000,time:33096,execs:3638,op:havoc,rep:2] [time 33096]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000026] [file memory/input/pos_000026_src:000000,time:34229,execs:3745,op:havoc,rep:4] [time 34229]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000012] [file memory/input/neg_000012_src:000000,time:35709,execs:3911,op:havoc,rep:2] [time 35710]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000013] [file memory/input/neg_000013_src:000000,time:36936,execs:4029,op:havoc,rep:8] [time 36936]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000014] [file memory/input/neg_000014_src:000000,time:39740,execs:4372,op:havoc,rep:2] [time 39740]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000015] [file memory/input/neg_000015_src:000000,time:43481,execs:4783,op:havoc,rep:2] [time 43481]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000027] [file memory/input/pos_000027_src:000000,time:49578,execs:5322,op:havoc,rep:4] [time 49578]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000028] [file memory/input/pos_000028_src:000000,time:50223,execs:5395,op:havoc,rep:2] [time 50223]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000029] [file memory/input/pos_000029_src:000000,time:52229,execs:5602,op:havoc,rep:2] [time 52229]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000030] [file memory/input/pos_000030_src:000000,time:52343,execs:5615,op:havoc,rep:8] [time 52343]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000031] [file memory/input/pos_000031_src:000000,time:52764,execs:5678,op:havoc,rep:2] [time 52764]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000032] [file memory/input/pos_000032_src:000000,time:53110,execs:5744,op:havoc,rep:4] [time 53110]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000016] [file memory/input/neg_000016_src:000000,time:53908,execs:5811,op:havoc,rep:8] [time 53908]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000033] [file memory/input/pos_000033_src:000000,time:56141,execs:5977,op:havoc,rep:2] [time 56141]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000034] [file memory/input/pos_000034_src:000000,time:56527,execs:6011,op:havoc,rep:4] [time 56527]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000035] [file memory/input/pos_000035_src:000000,time:58596,execs:6231,op:havoc,rep:4] [time 58596]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000017] [file memory/input/neg_000017_src:000000,time:58903,execs:6269,op:havoc,rep:2] [time 58906]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000036] [file memory/input/pos_000036_src:000000,time:59991,execs:6360,op:havoc,rep:4] [time 59991]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000018] [file memory/input/neg_000018_src:000000,time:60047,execs:6361,op:havoc,rep:4] [time 60048]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000019] [file memory/input/neg_000019_src:000000,time:60312,execs:6386,op:havoc,rep:4] [time 60312]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000020] [file memory/input/neg_000020_src:000000,time:60368,execs:6387,op:havoc,rep:2] [time 60368]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000021] [file memory/input/neg_000021_src:000000,time:62903,execs:6638,op:havoc,rep:2] [time 62903]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000022] [file memory/input/neg_000022_src:000000,time:63551,execs:6700,op:havoc,rep:2] [time 63551]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000037] [file memory/input/pos_000037_src:000000,time:64400,execs:6780,op:havoc,rep:8] [time 64400]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000023] [file memory/input/neg_000023_src:000000,time:64693,execs:6811,op:havoc,rep:2] [time 64693]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000024] [file memory/input/neg_000024_src:000000,time:69389,execs:7282,op:havoc,rep:4] [time 69389]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000038] [file memory/input/pos_000038_src:000000,time:70964,execs:7471,op:havoc,rep:4] [time 70964]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000025] [file memory/input/neg_000025_src:000000,time:71474,execs:7531,op:havoc,rep:4] [time 71474]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000026] [file memory/input/neg_000026_src:000000,time:73159,execs:7724,op:havoc,rep:2] [time 73159]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000039] [file memory/input/pos_000039_src:000000,time:74214,execs:7806,op:havoc,rep:4] [time 74214]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000040] [file memory/input/pos_000040_src:000000,time:75042,execs:7902,op:havoc,rep:8] [time 75042]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000041] [file memory/input/pos_000041_src:000000,time:76089,execs:7987,op:havoc,rep:4] [time 76089]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000042] [file memory/input/pos_000042_src:000000,time:79756,execs:8364,op:havoc,rep:4] [time 79756]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000027] [file memory/input/neg_000027_src:000000,time:80178,execs:8405,op:havoc,rep:4] [time 80178]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000043] [file memory/input/pos_000043_src:000000,time:81326,execs:8564,op:havoc,rep:4] [time 81326]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000044] [file memory/input/pos_000044_src:000000,time:83236,execs:8765,op:havoc,rep:2] [time 83236]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000045] [file memory/input/pos_000045_src:000000,time:84025,execs:8842,op:havoc,rep:8] [time 84025]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000046] [file memory/input/pos_000046_src:000000,time:85626,execs:8991,op:havoc,rep:4] [time 85626]
